extractor,case_id,injector,config,decision,expected,decisive,defeater,definition,precedence,decisive_missing,accepted,unsafe,sufficient,coverage_ok
keyword,later_amendment_override,none,augmented,ESCALATE,ESCALATE,3/3,0/0,0/0,1/1,0,1,0,1,1
keyword,buried_exception,none,augmented,REFUSE,ESCALATE,1/1,0/1,0/0,0/0,1,0,0,1,1
keyword,conflicting_definitions,none,augmented,ESCALATE,ESCALATE,1/1,0/0,0/2,0/0,1,1,1,1,1
keyword,order_of_precedence,none,augmented,REFUSE,ESCALATE,1/1,0/1,0/0,0/1,1,0,0,0,1
keyword,conflicting_versions,none,augmented,ESCALATE,REFUSE,2/2,0/0,0/0,0/0,0,1,0,0,1
keyword,duplicate_amendment,none,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
keyword,ocr_corruption,none,augmented,REFUSE,REFUSE,0/1,0/0,0/0,0/0,1,0,0,0,0
keyword,scanned_annex,none,augmented,REFUSE,REFUSE,0/1,0/0,0/0,0/0,1,0,0,1,0
keyword,hidden_negation,none,augmented,ESCALATE,ESCALATE,1/1,1/1,0/0,0/0,0,1,0,0,1
keyword,conflicting_tables,none,augmented,ESCALATE,ESCALATE,1/1,1/1,0/0,0/0,0,1,0,0,1
keyword,cross_document_reference,none,augmented,ESCALATE,ESCALATE,2/2,0/0,0/0,0/0,0,1,0,1,1
keyword,circular_reference,none,augmented,ESCALATE,REFUSE,1/1,0/0,0/0,0/0,0,1,0,0,1
keyword,missing_appendix,none,augmented,REFUSE,REFUSE,1/1,0/0,0/0,0/0,1,0,0,1,0
keyword,irrelevant_distractors,none,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
keyword,inconsistent_numbering,none,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/1,1,1,1,0,1
keyword,policy_override,none,augmented,ESCALATE,ESCALATE,1/1,1/1,0/0,0/1,1,1,1,0,1
keyword,later_amendment_override,DropCriticalSpan,augmented,REFUSE,REFUSE,1/3,0/0,0/0,1/1,1,0,0,0,1
keyword,later_amendment_override,DropException,augmented,ESCALATE,ESCALATE,3/3,0/0,0/0,1/1,0,1,0,1,1
keyword,later_amendment_override,DropDefinition,augmented,ESCALATE,ESCALATE,3/3,0/0,0/0,1/1,0,1,0,1,1
keyword,later_amendment_override,DropLastAmendment,augmented,REFUSE,REFUSE,2/3,0/0,0/0,0/1,1,0,0,0,1
keyword,later_amendment_override,DropPrecedenceRule,augmented,ESCALATE,REFUSE,3/3,0/0,0/0,0/1,1,1,1,1,1
keyword,later_amendment_override,CorruptLocator,augmented,REFUSE,ESCALATE,3/3,0/0,0/0,1/1,0,0,0,1,1
keyword,later_amendment_override,TruncatedPacket,augmented,REFUSE,REFUSE,2/3,0/0,0/0,1/1,1,0,0,0,1
keyword,later_amendment_override,RandomChunkRemoval,augmented,REFUSE,REFUSE,1/3,0/0,0/0,1/1,1,0,0,0,1
keyword,later_amendment_override,DuplicateWrongVersion,augmented,ESCALATE,ESCALATE,3/3,0/0,0/0,1/1,0,1,0,1,1
keyword,later_amendment_override,ParserFailure,augmented,REFUSE,REFUSE,2/3,0/0,0/0,0/1,1,0,0,1,0
keyword,later_amendment_override,OCRNoise,augmented,REFUSE,REFUSE,2/3,0/0,0/0,0/1,1,0,0,1,0
keyword,later_amendment_override,MissingAnnex,augmented,REFUSE,REFUSE,1/3,0/0,0/0,0/1,1,0,0,0,0
keyword,later_amendment_override,BrokenReference,augmented,REFUSE,REFUSE,3/3,0/0,0/0,1/1,1,0,0,1,0
keyword,irrelevant_distractors,DropCriticalSpan,augmented,REFUSE,REFUSE,0/1,0/0,0/0,0/0,1,0,0,0,1
keyword,irrelevant_distractors,DropException,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
keyword,irrelevant_distractors,DropDefinition,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
keyword,irrelevant_distractors,DropLastAmendment,augmented,REFUSE,REFUSE,0/1,0/0,0/0,0/0,1,0,0,0,1
keyword,irrelevant_distractors,DropPrecedenceRule,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
keyword,irrelevant_distractors,CorruptLocator,augmented,REFUSE,ESCALATE,1/1,0/0,0/0,0/0,0,0,0,1,1
keyword,irrelevant_distractors,TruncatedPacket,augmented,REFUSE,REFUSE,0/1,0/0,0/0,0/0,1,0,0,0,1
keyword,irrelevant_distractors,RandomChunkRemoval,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
keyword,irrelevant_distractors,DuplicateWrongVersion,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
keyword,irrelevant_distractors,ParserFailure,augmented,REFUSE,REFUSE,1/1,0/0,0/0,0/0,1,0,0,1,0
keyword,irrelevant_distractors,OCRNoise,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
keyword,irrelevant_distractors,MissingAnnex,augmented,REFUSE,REFUSE,0/1,0/0,0/0,0/0,1,0,0,0,0
keyword,irrelevant_distractors,BrokenReference,augmented,REFUSE,REFUSE,1/1,0/0,0/0,0/0,1,0,0,1,0
bm25,later_amendment_override,none,augmented,ESCALATE,ESCALATE,3/3,0/0,0/0,1/1,0,1,0,1,1
bm25,buried_exception,none,augmented,ESCALATE,ESCALATE,1/1,1/1,0/0,0/0,0,1,0,1,1
bm25,conflicting_definitions,none,augmented,ESCALATE,ESCALATE,1/1,0/0,2/2,0/0,0,1,0,1,1
bm25,order_of_precedence,none,augmented,ESCALATE,ESCALATE,1/1,1/1,0/0,0/1,1,1,1,0,1
bm25,conflicting_versions,none,augmented,ESCALATE,REFUSE,2/2,0/0,0/0,0/0,0,1,0,0,1
bm25,duplicate_amendment,none,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
bm25,ocr_corruption,none,augmented,REFUSE,REFUSE,1/1,0/0,0/0,0/0,1,0,0,0,0
bm25,scanned_annex,none,augmented,REFUSE,REFUSE,1/1,0/0,0/0,0/0,1,0,0,1,0
bm25,hidden_negation,none,augmented,ESCALATE,ESCALATE,1/1,1/1,0/0,0/0,0,1,0,0,1
bm25,conflicting_tables,none,augmented,ESCALATE,ESCALATE,1/1,1/1,0/0,0/0,0,1,0,0,1
bm25,cross_document_reference,none,augmented,ESCALATE,ESCALATE,2/2,0/0,0/0,0/0,0,1,0,1,1
bm25,circular_reference,none,augmented,ESCALATE,REFUSE,1/1,0/0,0/0,0/0,0,1,0,0,1
bm25,missing_appendix,none,augmented,REFUSE,REFUSE,1/1,0/0,0/0,0/0,1,0,0,1,0
bm25,irrelevant_distractors,none,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
bm25,inconsistent_numbering,none,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/1,1,1,1,0,1
bm25,policy_override,none,augmented,ESCALATE,ESCALATE,1/1,1/1,0/0,0/1,1,1,1,0,1
bm25,later_amendment_override,DropCriticalSpan,augmented,REFUSE,REFUSE,1/3,0/0,0/0,1/1,1,0,0,0,1
bm25,later_amendment_override,DropException,augmented,ESCALATE,ESCALATE,3/3,0/0,0/0,1/1,0,1,0,1,1
bm25,later_amendment_override,DropDefinition,augmented,ESCALATE,ESCALATE,3/3,0/0,0/0,1/1,0,1,0,1,1
bm25,later_amendment_override,DropLastAmendment,augmented,REFUSE,REFUSE,2/3,0/0,0/0,0/1,1,0,0,0,1
bm25,later_amendment_override,DropPrecedenceRule,augmented,ESCALATE,REFUSE,3/3,0/0,0/0,0/1,1,1,1,1,1
bm25,later_amendment_override,CorruptLocator,augmented,REFUSE,ESCALATE,3/3,0/0,0/0,1/1,0,0,0,1,1
bm25,later_amendment_override,TruncatedPacket,augmented,REFUSE,REFUSE,2/3,0/0,0/0,1/1,1,0,0,0,1
bm25,later_amendment_override,RandomChunkRemoval,augmented,REFUSE,REFUSE,2/3,0/0,0/0,1/1,1,0,0,0,1
bm25,later_amendment_override,DuplicateWrongVersion,augmented,ESCALATE,ESCALATE,3/3,0/0,0/0,1/1,0,1,0,1,1
bm25,later_amendment_override,ParserFailure,augmented,REFUSE,REFUSE,2/3,0/0,0/0,0/1,1,0,0,1,0
bm25,later_amendment_override,OCRNoise,augmented,REFUSE,REFUSE,2/3,0/0,0/0,0/1,1,0,0,1,0
bm25,later_amendment_override,MissingAnnex,augmented,REFUSE,REFUSE,1/3,0/0,0/0,0/1,1,0,0,0,0
bm25,later_amendment_override,BrokenReference,augmented,REFUSE,REFUSE,3/3,0/0,0/0,1/1,1,0,0,1,0
bm25,irrelevant_distractors,DropCriticalSpan,augmented,REFUSE,REFUSE,0/1,0/0,0/0,0/0,1,0,0,0,1
bm25,irrelevant_distractors,DropException,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
bm25,irrelevant_distractors,DropDefinition,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
bm25,irrelevant_distractors,DropLastAmendment,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
bm25,irrelevant_distractors,DropPrecedenceRule,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
bm25,irrelevant_distractors,CorruptLocator,augmented,REFUSE,ESCALATE,1/1,0/0,0/0,0/0,0,0,0,1,1
bm25,irrelevant_distractors,TruncatedPacket,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
bm25,irrelevant_distractors,RandomChunkRemoval,augmented,REFUSE,REFUSE,0/1,0/0,0/0,0/0,1,0,0,0,1
bm25,irrelevant_distractors,DuplicateWrongVersion,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
bm25,irrelevant_distractors,ParserFailure,augmented,REFUSE,REFUSE,1/1,0/0,0/0,0/0,1,0,0,1,0
bm25,irrelevant_distractors,OCRNoise,augmented,ESCALATE,ESCALATE,1/1,0/0,0/0,0/0,0,1,0,1,1
bm25,irrelevant_distractors,MissingAnnex,augmented,REFUSE,REFUSE,0/1,0/0,0/0,0/0,1,0,0,0,0
