timestamp,msname,msinstanceid,nodeid,cpu_utilization,memory_utilization
0,ms_0,inst_0,node_0,30.0,60.0
15,ms_1,inst_1,node_1,34.44,59.92
30,ms_2,inst_2,node_2,38.82,59.67
45,ms_3,inst_3,node_0,43.09,59.26
60,ms_0,inst_4,node_1,47.2,58.69
75,ms_1,inst_5,node_2,51.1,57.97
90,ms_2,inst_6,node_0,54.73,57.1
105,ms_3,inst_0,node_1,58.07,56.09
120,ms_0,inst_1,node_2,61.05,54.94
135,ms_1,inst_2,node_0,63.66,53.67
150,ms_2,inst_3,node_1,65.85,52.29
165,ms_3,inst_4,node_2,67.59,50.81
180,ms_0,inst_5,node_0,68.88,49.23
195,ms_1,inst_6,node_1,69.68,47.58
210,ms_2,inst_0,node_2,70.0,45.87
225,ms_3,inst_1,node_0,69.82,44.11
240,ms_0,inst_2,node_1,69.15,42.32
255,ms_1,inst_3,node_2,67.99,40.51
270,ms_2,inst_4,node_0,66.37,41.31
285,ms_3,inst_5,node_1,64.3,43.12
300,ms_0,inst_6,node_2,61.81,44.9
315,ms_1,inst_0,node_0,58.92,46.64
330,ms_2,inst_1,node_1,55.68,48.32
345,ms_3,inst_2,node_2,52.12,49.94
360,ms_0,inst_3,node_0,48.29,51.47
375,ms_1,inst_4,node_1,44.23,52.91
390,ms_2,inst_5,node_2,40.0,54.25
405,ms_3,inst_6,node_0,35.64,55.46
420,ms_0,inst_0,node_1,31.22,56.55
435,ms_1,inst_1,node_2,33.22,57.5
450,ms_2,inst_2,node_0,37.62,58.31
465,ms_3,inst_3,node_1,41.93,58.96
480,ms_0,inst_4,node_2,46.09,59.46
495,ms_1,inst_5,node_0,50.05,59.8
510,ms_2,inst_6,node_1,53.77,59.97
525,ms_3,inst_0,node_2,57.19,59.98
540,ms_0,inst_1,node_0,60.27,59.83
555,ms_1,inst_2,node_1,62.98,59.51
570,ms_2,inst_3,node_2,65.29,59.03
585,ms_3,inst_4,node_0,67.16,58.39
600,ms_0,inst_5,node_1,68.57,57.6
615,ms_1,inst_6,node_2,69.51,56.67
630,ms_2,inst_0,node_0,69.96,55.59
645,ms_3,inst_1,node_1,69.91,54.39
660,ms_0,inst_2,node_2,69.38,53.07
675,ms_1,inst_3,node_0,68.36,51.64
690,ms_2,inst_4,node_1,66.86,50.12
705,ms_3,inst_5,node_2,64.91,48.51
720,ms_0,inst_6,node_0,62.53,46.83
735,ms_1,inst_0,node_1,59.75,45.1
750,ms_2,inst_1,node_2,56.6,43.32
765,ms_3,inst_2,node_0,53.13,41.52
780,ms_0,inst_3,node_1,49.37,40.3
795,ms_1,inst_4,node_2,45.37,42.11
810,ms_2,inst_5,node_0,41.18,43.91
825,ms_3,inst_6,node_1,36.85,45.67
840,ms_0,inst_0,node_2,32.44,47.39
855,ms_1,inst_1,node_0,32.01,49.05
870,ms_2,inst_2,node_1,36.42,50.63
885,ms_3,inst_3,node_2,40.76,52.12
900,ms_0,inst_4,node_0,44.97,53.52
915,ms_1,inst_5,node_1,48.99,54.8
930,ms_2,inst_6,node_2,52.77,55.96
945,ms_3,inst_0,node_0,56.28,56.99
960,ms_0,inst_1,node_1,59.46,57.88
975,ms_1,inst_2,node_2,62.28,58.62
990,ms_2,inst_3,node_0,64.7,59.2
1005,ms_3,inst_4,node_1,66.69,59.63
1020,ms_0,inst_5,node_2,68.23,59.9
1035,ms_1,inst_6,node_0,69.3,60.0
1050,ms_2,inst_0,node_1,69.88,59.94
1065,ms_3,inst_1,node_2,69.98,59.71
1080,ms_0,inst_2,node_0,69.57,59.32
1095,ms_1,inst_3,node_1,68.68,58.77
1110,ms_2,inst_4,node_2,67.32,58.06
1125,ms_3,inst_5,node_0,65.49,57.21
1140,ms_0,inst_6,node_1,63.23,56.21
1155,ms_1,inst_0,node_2,60.55,55.08
1170,ms_2,inst_1,node_0,57.5,53.82
1185,ms_3,inst_2,node_1,54.11,52.45
1200,ms_0,inst_3,node_2,50.42,50.98
1215,ms_1,inst_4,node_0,46.48,49.42
1230,ms_2,inst_5,node_1,42.34,47.78
1245,ms_3,inst_6,node_2,38.05,46.07
1260,ms_0,inst_0,node_0,33.65,44.32
1275,ms_1,inst_1,node_1,30.79,42.53
1290,ms_2,inst_2,node_2,35.22,40.72
1305,ms_3,inst_3,node_0,39.58,41.1
1320,ms_0,inst_4,node_1,43.83,42.91
1335,ms_1,inst_5,node_2,47.91,44.69
1350,ms_2,inst_6,node_0,51.76,46.44
1365,ms_3,inst_0,node_1,55.35,48.13
1380,ms_0,inst_1,node_2,58.62,49.76
1395,ms_1,inst_2,node_0,61.54,51.3
1410,ms_2,inst_3,node_1,64.08,52.75
1425,ms_3,inst_4,node_2,66.19,54.1
1440,ms_0,inst_5,node_0,67.86,55.33
1455,ms_1,inst_6,node_1,69.06,56.43
1470,ms_2,inst_0,node_2,69.77,57.4
1485,ms_3,inst_1,node_0,70.0,58.22
1500,ms_0,inst_2,node_1,69.73,58.9
1515,ms_1,inst_3,node_2,68.98,59.41
1530,ms_2,inst_4,node_0,67.74,59.77
1545,ms_3,inst_5,node_1,66.04,59.96
1560,ms_0,inst_6,node_2,63.89,59.99
