TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:15:46.6805900,374,44
2023-11-16 18:15:50.9951690,396,109
2023-11-16 18:15:51.2224670,879,55
2023-11-16 18:15:51.3910170,91,16
2023-11-16 18:15:52.5732450,91,16
2023-11-16 18:15:52.9921190,381,84
2023-11-16 18:15:54.4260870,1313,142
2023-11-16 18:15:54.9320210,388,84
2023-11-16 18:15:55.0176690,242,14
2023-11-16 18:15:55.1455750,209,152
2023-11-16 18:15:55.3808030,394,124
2023-11-16 18:15:56.1080580,394,59
2023-11-16 18:15:56.2631480,1315,174
2023-11-16 18:15:56.7869690,2221,15
2023-11-16 18:15:57.2267160,389,90
2023-11-16 18:15:57.8385010,415,106
2023-11-16 18:15:58.1114940,120,12
2023-11-16 18:15:58.5172230,369,74
2023-11-16 18:15:59.5671350,206,162
2023-11-16 18:15:59.7056780,1353,142
2023-11-16 18:15:59.7304330,197,152
2023-11-16 18:16:00.7401400,181,154
2023-11-16 18:16:00.7783700,388,54
2023-11-16 18:16:00.9738990,4085,62
2023-11-16 18:16:04.1015080,2584,170
2023-11-16 18:16:04.4735280,203,147
2023-11-16 18:16:04.8411030,126,194
2023-11-16 18:16:05.1444820,389,87
2023-11-16 18:16:05.6600290,2548,116
2023-11-16 18:16:06.5945170,91,16
2023-11-16 18:16:06.6257870,4081,74
2023-11-16 18:16:07.1595310,181,123
2023-11-16 18:16:07.3389430,191,217
2023-11-16 18:16:07.6225060,27,183
2023-11-16 18:16:08.0506550,203,217
2023-11-16 18:16:08.0556770,398,81
2023-11-16 18:16:09.3934620,126,172
2023-11-16 18:16:09.6754460,209,181
2023-11-16 18:16:10.0519930,209,181
2023-11-16 18:16:10.8268860,28,175
2023-11-16 18:16:11.4489750,437,88
2023-11-16 18:16:11.5755510,181,104
2023-11-16 18:16:11.7620120,203,138
2023-11-16 18:16:11.9039690,200,177
2023-11-16 18:16:11.9304300,4073,58
2023-11-16 18:16:12.0048440,91,16
2023-11-16 18:16:12.5976970,1087,401
2023-11-16 18:16:12.9350680,382,64
2023-11-16 18:16:13.0876470,412,102
2023-11-16 18:16:13.1417340,194,217
2023-11-16 18:16:14.0108560,203,217
2023-11-16 18:16:14.2331190,200,217
2023-11-16 18:16:14.7708240,64,174
2023-11-16 18:16:15.0339470,458,123
2023-11-16 18:16:15.2591250,1352,158
2023-11-16 18:16:15.2883620,874,404
2023-11-16 18:16:15.4449690,378,58
2023-11-16 18:16:16.0208780,91,16
2023-11-16 18:16:16.3666680,4074,50
2023-11-16 18:16:16.8620890,389,89
2023-11-16 18:16:17.9497610,212,183
2023-11-16 18:16:18.3010800,1085,394
2023-11-16 18:16:18.4408190,407,131
2023-11-16 18:16:18.5975930,396,82
2023-11-16 18:16:19.0690950,1029,399
2023-11-16 18:16:19.9164720,962,399
2023-11-16 18:16:20.0941180,203,217
2023-11-16 18:16:20.1715910,898,94
2023-11-16 18:16:20.2073600,181,253
2023-11-16 18:16:20.3263030,320,18
2023-11-16 18:16:20.4292920,1119,414
2023-11-16 18:16:20.5055900,124,157
2023-11-16 18:16:20.6131190,1313,179
2023-11-16 18:16:21.4270360,1096,383
2023-11-16 18:16:21.9746590,400,102
2023-11-16 18:16:22.8191020,1057,424
2023-11-16 18:16:23.2010070,203,162
2023-11-16 18:16:23.5453290,1314,216
2023-11-16 18:16:23.8053960,2,93
2023-11-16 18:16:24.1565550,1065,409
2023-11-16 18:16:24.8355200,372,60
2023-11-16 18:16:25.0732320,4094,82
2023-11-16 18:16:25.2296340,1104,394
2023-11-16 18:16:25.4939220,1075,415
2023-11-16 18:16:25.7725050,4088,37
2023-11-16 18:16:25.9011740,1225,372
2023-11-16 18:16:26.0047170,1118,426
2023-11-16 18:16:26.3183540,380,102
2023-11-16 18:16:26.3257810,1133,385
2023-11-16 18:16:26.7224570,42,167
2023-11-16 18:16:27.0312240,2590,50
2023-11-16 18:16:27.1597540,1140,377
2023-11-16 18:16:27.8064630,126,203
2023-11-16 18:16:28.0379810,431,84
2023-11-16 18:16:29.0146450,1115,421
2023-11-16 18:16:29.2102830,206,179
2023-11-16 18:16:29.2112150,400,91
2023-11-16 18:16:29.2258530,1123,396
2023-11-16 18:16:29.2444100,862,379
2023-11-16 18:16:29.3658130,859,422
2023-11-16 18:16:29.3718280,890,402
