timestamp,cpu,memory,latency_p99_seconds,error_rate,queue_depth,current_replicas,desired_replicas,pod_restarts
1700000000,0.5,0.4,0.25,0.0,0.2,5,5,0
1700000060,0.5,0.4,0.25,0.0,0.2,5,5,0
1700000120,0.5,0.4,0.25,0.0,0.2,5,5,0
1700000180,0.5,0.4,0.25,0.0,0.2,5,5,0
1700000240,0.5,0.4,0.25,0.0,0.2,5,5,0
1700000300,0.62,0.4,0.55,0.0,0.5,6,7,0
1700000360,0.62,0.4,0.51,0.0,0.5,7,8,0
1700000420,0.62,0.4,0.47000000000000003,0.0,0.5,8,9,0
1700000480,0.62,0.4,0.43000000000000005,0.0,0.5,9,10,0
1700000540,0.62,0.4,0.39,0.0,0.5,10,11,0
1700000600,0.62,0.4,0.35000000000000003,0.0,0.5,11,12,0
1700000660,0.62,0.4,0.31000000000000005,0.0,0.5,12,13,0
1700000720,0.62,0.4,0.27,0.0,0.5,12,13,0
1700000780,0.62,0.4,0.23000000000000004,0.0,0.5,12,13,0
1700000840,0.62,0.4,0.19000000000000006,0.0,0.5,12,13,0
1700000900,0.45,0.4,0.18,0.0,0.3,9,9,0
1700000960,0.45,0.4,0.18,0.0,0.3,9,9,0
1700001020,0.45,0.4,0.18,0.0,0.3,9,9,0
1700001080,0.45,0.4,0.18,0.0,0.3,9,9,0
1700001140,0.45,0.4,0.18,0.0,0.3,9,9,0
1700001200,0.45,0.4,0.96,0.2,0.92,12,14,0
1700001260,0.45,0.4,0.96,0.2,0.92,14,16,0
1700001320,0.45,0.4,0.96,0.2,0.92,16,18,0
1700001380,0.45,0.4,0.96,0.2,0.92,18,20,0
1700001440,0.45,0.4,0.96,0.2,0.92,20,22,0
1700001500,0.45,0.4,0.96,0.2,0.92,22,24,0
1700001560,0.45,0.4,0.96,0.2,0.92,24,26,0
1700001620,0.45,0.4,0.96,0.2,0.92,26,28,0
1700001680,0.45,0.4,0.96,0.2,0.92,28,30,0
1700001740,0.45,0.4,0.96,0.2,0.92,30,32,0
1700001800,0.45,0.4,0.96,0.2,0.92,32,34,0
1700001860,0.45,0.4,0.96,0.2,0.92,34,36,0
1700001920,0.44,0.4,0.96,0.22,0.93,34,34,0
1700001980,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002040,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002100,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002160,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002220,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002280,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002340,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002400,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002460,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002520,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002580,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002640,0.44,0.4,0.96,0.22,0.93,34,34,0
1700002700,0.4,0.4,0.5,0.0,0.3,30,28,0
1700002760,0.4,0.4,0.18,0.0,0.3,24,22,0
1700002820,0.4,0.4,0.18,0.0,0.3,18,16,0
1700002880,0.4,0.4,0.18,0.0,0.3,14,12,0
1700002940,0.4,0.4,0.18,0.0,0.3,10,8,0
1700003000,0.4,0.4,0.18,0.0,0.3,8,6,0
1700003060,0.4,0.4,0.18,0.0,0.3,8,6,0
1700003120,0.4,0.4,0.18,0.0,0.3,8,6,0
1700003180,0.4,0.4,0.18,0.0,0.3,8,6,0
1700003240,0.4,0.4,0.18,0.0,0.3,8,6,0
