grid,family,family_params,T,beta,delta,sigma_logit,V,seed,cost_order,total_cost,max_accel_norm,gate_activations,per_source_costs,per_pair_costs,truth_label,hit,margin,rank,threshold_pass,alignment_pass,cell_pass,failure_reasons
ablation,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,42,ZEROTH,1.0609222225316039e-08,0.039999999999999994,0,"[5.304611112658019e-09, 1.0609222225316039e-08, 5.304611112658019e-09]","{""1,0"": 5.304611112658019e-09, ""2,0"": 0.0, ""2,1"": 5.304611112658019e-09}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,43,ZEROTH,1.0609222225316039e-08,0.04,0,"[5.304611112658019e-09, 1.0609222225316039e-08, 5.304611112658019e-09]","{""1,0"": 5.304611112658019e-09, ""2,0"": 0.0, ""2,1"": 5.304611112658019e-09}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,44,ZEROTH,1.0609222225316039e-08,0.04,0,"[5.304611112658019e-09, 1.0609222225316039e-08, 5.304611112658019e-09]","{""1,0"": 5.304611112658019e-09, ""2,0"": 0.0, ""2,1"": 5.304611112658019e-09}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,42,FIRST,2.612967426089829e-10,0.01,0,"[1.3064837130449144e-10, 2.612967426089829e-10, 1.3064837130449144e-10]","{""1,0"": 1.3064837130449144e-10, ""2,0"": 0.0, ""2,1"": 1.3064837130449144e-10}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,43,FIRST,2.612967426089829e-10,0.01,0,"[1.3064837130449144e-10, 2.612967426089829e-10, 1.3064837130449144e-10]","{""1,0"": 1.3064837130449144e-10, ""2,0"": 0.0, ""2,1"": 1.3064837130449144e-10}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,44,FIRST,2.612967426089829e-10,0.01,0,"[1.3064837130449144e-10, 2.612967426089829e-10, 1.3064837130449144e-10]","{""1,0"": 1.3064837130449144e-10, ""2,0"": 0.0, ""2,1"": 1.3064837130449144e-10}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
ablation,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,3.400627856649791e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,3.259419472014834e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,3.838866040110581e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
ablation,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,42,ZEROTH,0.0001155971156668313,0.07999999999999999,0,"[5.779855783341565e-05, 0.0001155971156668313, 5.779855783341565e-05]","{""1,0"": 5.779855783341565e-05, ""2,0"": 0.0, ""2,1"": 5.779855783341565e-05}",,,,,False,,False,lin_drift.total_cost<=1e-10(fp64);lin_drift.max_accel<=1e-10(fp64);lin_drift.per_source<=1e-10(fp64)
