# BASE-POS/1.0 cue	category  (bounded categories only)
can	MODAL
cannot	MODAL
may	MODAL
must	MODAL
shall	MODAL
should	MODAL
will	MODAL
might	MODAL
not	NEGATION
never	NEGATION
no	NEGATION
nor	NEGATION
none	NEGATION
without	NEGATION
the	DETERMINER
a	DETERMINER
an	DETERMINER
this	DETERMINER
that	DETERMINER
is	AUXILIARY
are	AUXILIARY
was	AUXILIARY
were	AUXILIARY
be	AUXILIARY
been	AUXILIARY
has	AUXILIARY
have	AUXILIARY
had	AUXILIARY
do	AUXILIARY
does	AUXILIARY
did	AUXILIARY
of	PREPOSITION
in	PREPOSITION
on	PREPOSITION
to	PREPOSITION
for	PREPOSITION
by	PREPOSITION
with	PREPOSITION
under	PREPOSITION
over	PREPOSITION
and	CONJUNCTION
or	CONJUNCTION
but	CONJUNCTION
