# BASE-CONFUSABLE/1.0 codepoint	name	script	skeleton	suspicious	context
U+0430	CYRILLIC SMALL LETTER A	Cyrillic	a	1	none
U+0435	CYRILLIC SMALL LETTER IE	Cyrillic	e	1	none
U+043E	CYRILLIC SMALL LETTER O	Cyrillic	o	1	none
U+0440	CYRILLIC SMALL LETTER ER	Cyrillic	p	1	none
U+0441	CYRILLIC SMALL LETTER ES	Cyrillic	c	1	none
U+0443	CYRILLIC SMALL LETTER U	Cyrillic	y	1	none
U+0445	CYRILLIC SMALL LETTER HA	Cyrillic	x	1	none
U+0455	CYRILLIC SMALL LETTER DZE	Cyrillic	s	1	none
U+0456	CYRILLIC SMALL LETTER I	Cyrillic	i	1	none
U+0458	CYRILLIC SMALL LETTER JE	Cyrillic	j	1	none
U+03BF	GREEK SMALL LETTER OMICRON	Greek	o	1	none
U+03B1	GREEK SMALL LETTER ALPHA	Greek	a	1	none
U+03B9	GREEK SMALL LETTER IOTA	Greek	i	1	none
U+03BD	GREEK SMALL LETTER NU	Greek	v	1	none
U+0391	GREEK CAPITAL LETTER ALPHA	Greek	A	1	none
U+0392	GREEK CAPITAL LETTER BETA	Greek	B	1	none
U+0395	GREEK CAPITAL LETTER EPSILON	Greek	E	1	none
U+039F	GREEK CAPITAL LETTER OMICRON	Greek	O	1	none
