devanagari,parser_unit,iast,phonological_class,aspirated,parser_type,table_key,mapping_status,table_active_flag,provenance_flags,binding_pole_provenance,liberating_pole_provenance
क,k,k,consonant,False,consonant,ka,EXACT_ACTIVE,True,,INFERRED,AUTHORED_PROVISIONAL
ख,kh,kh,consonant,True,consonant,kha,EXACT_INACTIVE,False,,INFERRED,AUTHORED_PROVISIONAL
ग,g,g,consonant,False,consonant,ga,EXACT_ACTIVE,True,,INFERRED,AUTHORED_PROVISIONAL
घ,gh,gh,consonant,True,consonant,gha,EXACT_INACTIVE,False,,PRIMARY_ATTESTED,PRIMARY_ATTESTED
ङ,ṅ,ṅ,consonant,False,consonant,nga,EXACT_ACTIVE,True,,INFERRED,AUTHORED_PROVISIONAL
च,c,c,consonant,False,consonant,ca,EXACT_ACTIVE,True,,AUTHORED_PROVISIONAL,AUTHORED_PROVISIONAL
छ,ch,ch,consonant,True,consonant,cha,EXACT_INACTIVE,False,,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
ज,j,j,consonant,False,consonant,ja,EXACT_ACTIVE,True,,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
झ,jh,jh,consonant,True,consonant,jha,EXACT_INACTIVE,False,,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
ञ,ñ,ñ,consonant,False,consonant,nya,EXACT_INACTIVE,False,,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
ट,ṭ,ṭ,consonant,False,consonant,tta,CONTRADICTORY_ENTRY,False,REACHABILITY_CONTRADICTION,PRIMARY_ATTESTED,PRIMARY_ATTESTED
ठ,ṭh,ṭh,consonant,True,consonant,ttha,EXACT_INACTIVE,False,META_STALE_TTHA,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
ड,ḍ,ḍ,consonant,False,consonant,dda,EXACT_INACTIVE,False,,AUTHORED_PROVISIONAL,AUTHORED_PROVISIONAL
ढ,ḍh,ḍh,consonant,True,consonant,ddha,EXACT_INACTIVE,False,,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
ण,ṇ,ṇ,consonant,False,consonant,nna,EXACT_INACTIVE,False,,AUTHORED_PROVISIONAL,AUTHORED_PROVISIONAL
त,t,t,consonant,False,consonant,ta,EXACT_ACTIVE,True,,PRIMARY_ATTESTED,INFERRED
थ,th,th,consonant,True,consonant,tha,EXACT_ACTIVE,True,DOC_VS_CODE_TH,SECONDARY_ATTESTED,AUTHORED_PROVISIONAL
द,d,d,consonant,False,consonant,da,EXACT_ACTIVE,True,,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
ध,dh,dh,consonant,True,consonant,dha,EXACT_INACTIVE,False,,PRIMARY_ATTESTED,INFERRED
न,n,n,consonant,False,consonant,na,EXACT_ACTIVE,True,,PRIMARY_ATTESTED,INFERRED
प,p,p,consonant,False,consonant,pa,EXACT_ACTIVE,True,META_STALE_PA,PRIMARY_ATTESTED,INFERRED
फ,ph,ph,consonant,True,consonant,pha,EXACT_INACTIVE,False,,SECONDARY_ATTESTED,AUTHORED_PROVISIONAL
ब,b,b,consonant,False,consonant,ba,EXACT_ACTIVE,True,,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
भ,bh,bh,consonant,True,consonant,bha,EXACT_INACTIVE,False,,PRIMARY_ATTESTED,INFERRED
म,m,m,consonant,False,consonant,ma,EXACT_ACTIVE,True,,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
य,y,y,consonant,False,consonant,ya,EXACT_ACTIVE,True,,PRIMARY_ATTESTED,AUTHORED_PROVISIONAL
र,r,r,consonant,False,consonant,ra,EXACT_ACTIVE,True,,PRIMARY_ATTESTED,PRIMARY_ATTESTED
ल,l,l,consonant,False,consonant,la,EXACT_ACTIVE,True,,PRIMARY_ATTESTED,PRIMARY_ATTESTED
व,v,v,consonant,False,consonant,va,EXACT_ACTIVE,True,,INFERRED,PRIMARY_ATTESTED
श,ś,ś,consonant,False,consonant,sha,EXACT_ACTIVE,True,SIBILANT_SWAP,PRIMARY_ATTESTED,INFERRED
ष,ṣ,ṣ,consonant,False,consonant,ssa,EXACT_INACTIVE,False,SIBILANT_SWAP,AUTHORED_PROVISIONAL,AUTHORED_PROVISIONAL
स,s,s,consonant,False,consonant,sa,EXACT_ACTIVE,True,,INFERRED,PRIMARY_ATTESTED
ह,h,h,consonant,False,consonant,ha,EXACT_ACTIVE,True,BACK_FIT,AUTHORED_PROVISIONAL,AUTHORED_PROVISIONAL
ळ,ḷ,ḷ,consonant,False,consonant,,MISSING_TABLE_ENTRY,,,,
अ,a,a,vowel_short,,vowel,,MISSING_TABLE_ENTRY,,,,
आ,ā,ā,vowel_long,,vowel,,MISSING_TABLE_ENTRY,,,,
इ,i,i,vowel_short,,vowel,,MISSING_TABLE_ENTRY,,,,
ई,ī,ī,vowel_long,,vowel,,MISSING_TABLE_ENTRY,,,,
उ,u,u,vowel_short,,vowel,,MISSING_TABLE_ENTRY,,,,
ऊ,ū,ū,vowel_long,,vowel,,MISSING_TABLE_ENTRY,,,,
ऋ,ṛ,ṛ,vowel_short,,vowel,,MISSING_TABLE_ENTRY,,,,
ॠ,ṝ,ṝ,vowel_long,,vowel,,MISSING_TABLE_ENTRY,,,,
ऌ,l̥,l̥,vowel_short,,vowel,,MISSING_TABLE_ENTRY,,,,
ॡ,l̥̄,l̥̄,vowel_long,,vowel,,MISSING_TABLE_ENTRY,,,,
ए,e,e,vowel_long,,vowel,,MISSING_TABLE_ENTRY,,,,
ऐ,ai,ai,vowel_long,,vowel,,MISSING_TABLE_ENTRY,,,,
ओ,o,o,vowel_long,,vowel,,MISSING_TABLE_ENTRY,,,,
औ,au,au,vowel_long,,vowel,,MISSING_TABLE_ENTRY,,,,
ं,ṃ,ṃ,anusvara,,anusvara,,MISSING_TABLE_ENTRY,,,,
ः,ḥ,ḥ,visarga,,visarga,,MISSING_TABLE_ENTRY,,,,
ँ,m̐,m̐,nasalization,,nasalization,,MISSING_TABLE_ENTRY,,,,
ऽ,',',marker,,marker,,NON_SEMANTIC_MARKER,,,,
क़,क़,qa(nukta),unsupported,,unsupported,,UNSUPPORTED_ORTHOGRAPHIC_UNIT,,,,
