arm,seed,final_acc,entropy,margin,select_acc,acc_in_distribution,acc_longer_context,acc_higher_distractor,acc_two_systems
A,0,0.2607421875,,,,0.22135416666666666,0.24739583333333334,0.10546875,0.1484375
A,1,0.2412109375,,,,0.24348958333333334,0.23567708333333334,0.1328125,0.15104166666666666
A,2,0.2548828125,,,,0.2526041666666667,0.2578125,0.14322916666666666,0.14583333333333334
C,0,0.9970703125,0.04064485772202412,41.468193689982094,0.7760416666666666,0.9986979166666666,0.9895833333333334,0.5338541666666666,0.5234375
C,1,0.25,0.11336567625403404,-0.47020038962364197,0.2526041666666667,0.24869791666666666,0.19140625,0.12760416666666666,0.130859375
C,2,1.0,0.07469847115377586,25.568660100301106,0.5989583333333334,1.0,0.98828125,0.5104166666666666,0.4973958333333333
D-full,0,0.9931640625,0.0006091759635561781,47.5395450592041,1.0,0.9947916666666666,0.078125,0.13932291666666666,0.17903645833333334
D-full,1,0.9853515625,0.00013797987526705432,47.8511536916097,1.0,0.9895833333333334,0.07421875,0.1640625,0.16341145833333334
D-full,2,0.9921875,0.00046784445105174655,44.153526306152344,1.0,0.9934895833333334,0.21223958333333334,0.16276041666666666,0.205078125
D-10,0,0.9736328125,0.001672218927557682,55.07163619995117,0.9973958333333334,0.9765625,0.12630208333333334,0.21223958333333334,0.21614583333333334
D-10,1,0.9814453125,0.0009818791319654945,41.4560604095459,1.0,0.9817708333333334,0.11067708333333333,0.17057291666666666,0.17057291666666666
D-10,2,0.9892578125,3.956673751304152e-05,51.22988192240397,1.0,0.9908854166666666,0.22916666666666666,0.16145833333333334,0.19075520833333334
BD-A,0,1.0,1.2916943629582722,-0.0041106076290210085,0.2786458333333333,1.0,0.9010416666666666,0.5690104166666666,0.5572916666666666
BD-A,1,1.0,1.2640516956647236,0.001994185149669647,0.2760416666666667,1.0,0.92578125,0.5598958333333334,0.5579427083333334
BD-A,2,1.0,1.2588281234105427,0.004581203684210777,0.3151041666666667,1.0,0.9505208333333334,0.5807291666666666,0.5611979166666666
BD-D,0,1.0,0.1501836453874906,4.789031426111857,1.0,1.0,0.005208333333333333,0.17578125,0.23567708333333334
BD-D,1,0.9912109375,0.20697206010421118,4.362156629562378,1.0,0.9869791666666666,0.00390625,0.11197916666666667,0.18489583333333334
BD-D,2,1.0,0.1569857820868492,4.728922049204509,1.0,1.0,0.00390625,0.125,0.19791666666666666
BD-D10,0,1.0,0.3508199453353882,3.667473832766215,1.0,1.0,0.010416666666666666,0.26953125,0.3001302083333333
BD-D10,1,0.986328125,0.44423095385233563,3.351188143094381,1.0,0.984375,0.024739583333333332,0.16015625,0.234375
BD-D10,2,1.0,0.36030514041582745,3.636471430460612,1.0,1.0,0.026041666666666668,0.265625,0.2858072916666667
