arm,ablation,acc_in_distribution,retained_in_distribution,acc_longer_context,retained_longer_context,acc_higher_distractor,retained_higher_distractor,acc_two_systems,retained_two_systems
C,clean,0.7447916666666666,1.0,0.7239583333333334,1.0,0.390625,1.0,0.3802083333333333,1.0
C,attn_zero_aux,0.12174479166666667,0.16346153846153846,0.06966145833333333,0.0962230215827338,0.07942708333333333,0.2033333333333333,0.08268229166666667,0.21746575342465757
C,attn_mean_aux,0.2962239583333333,0.3977272727272727,0.224609375,0.31025179856115104,0.158203125,0.405,0.166015625,0.4366438356164384
C,attn_shuffle_aux,0.19921875,0.2674825174825175,0.19075520833333334,0.2634892086330935,0.09635416666666667,0.24666666666666667,0.13639322916666666,0.3587328767123288
C,attn_zero_L0,0.220703125,0.29632867132867136,0.16471354166666666,0.22751798561151076,0.126953125,0.325,0.13899739583333334,0.36558219178082196
C,attn_zero_all,0.05078125,0.06818181818181819,0.05859375,0.08093525179856115,0.057942708333333336,0.14833333333333334,0.062174479166666664,0.163527397260274
C,ff_zero_aux,0.7467447916666666,1.0026223776223777,0.7473958333333334,1.0323741007194245,0.3860677083333333,0.9883333333333333,0.384765625,1.0119863013698631
C,ff_zero_all,0.7220052083333334,0.9694055944055945,0.623046875,0.8606115107913669,0.3346354166666667,0.8566666666666667,0.3486328125,0.9169520547945206
D-full,clean,0.990234375,1.0,0.12565104166666666,1.0,0.150390625,1.0,0.18326822916666666,1.0
D-full,attn_zero_aux,0.24674479166666666,0.2491781722550953,0.16471354166666666,1.310880829015544,0.134765625,0.8961038961038961,0.18977864583333334,1.035523978685613
D-full,attn_mean_aux,0.3020833333333333,0.3050624589086127,0.031901041666666664,0.2538860103626943,0.12174479166666667,0.8095238095238095,0.12174479166666667,0.6642984014209592
D-full,attn_shuffle_aux,0.2630208333333333,0.2656147271531887,0.055989583333333336,0.4455958549222798,0.111328125,0.7402597402597403,0.11751302083333333,0.6412078152753108
D-full,attn_zero_L0,0.052734375,0.05325443786982249,0.064453125,0.5129533678756477,0.06640625,0.44155844155844154,0.059895833333333336,0.3268206039076377
D-full,attn_zero_all,0.06966145833333333,0.07034845496383957,0.06705729166666667,0.5336787564766841,0.057291666666666664,0.38095238095238093,0.061197916666666664,0.3339253996447602
D-full,ff_zero_aux,0.9140625,0.9230769230769231,0.08919270833333333,0.7098445595854922,0.142578125,0.948051948051948,0.16341145833333334,0.891651865008881
D-full,ff_zero_all,0.8033854166666666,0.8113083497698882,0.04296875,0.3419689119170985,0.055338541666666664,0.36796536796536794,0.07259114583333333,0.39609236234458256
BD-A,clean,1.0,1.0,0.923828125,1.0,0.5729166666666666,1.0,0.5576171875,1.0
BD-A,attn_zero_aux,0.1875,0.1875,0.06966145833333333,0.07540521494009865,0.083984375,0.1465909090909091,0.087890625,0.15761821366024517
BD-A,attn_mean_aux,0.33203125,0.33203125,0.228515625,0.24735729386892177,0.1640625,0.2863636363636364,0.18587239583333334,0.33333333333333337
BD-A,attn_shuffle_aux,0.232421875,0.232421875,0.18815104166666666,0.2036645525017618,0.11197916666666667,0.19545454545454546,0.13834635416666666,0.24810274372446
BD-A,attn_zero_L0,0.240234375,0.240234375,0.13606770833333334,0.14728682170542637,0.103515625,0.1806818181818182,0.14485677083333334,0.25977816695855227
BD-A,attn_zero_all,0.064453125,0.064453125,0.06380208333333333,0.06906272022551092,0.06575520833333333,0.11477272727272728,0.056315104166666664,0.10099241097489783
BD-A,ff_zero_aux,1.0,1.0,0.92578125,1.0021141649048626,0.5709635416666666,0.9965909090909091,0.5550130208333334,0.9953298307063632
BD-A,ff_zero_all,1.0,1.0,0.845703125,0.9154334038054969,0.5657552083333334,0.9875000000000002,0.5491536458333334,0.9848219497956802
BD-D,clean,0.9954427083333334,1.0,0.005208333333333333,1.0,0.13541666666666666,1.0,0.20279947916666666,1.0
BD-D,attn_zero_aux,0.23828125,0.23937213865271417,0.24739583333333334,47.50000000000001,0.125,0.9230769230769231,0.1845703125,0.9101123595505618
BD-D,attn_mean_aux,0.30859375,0.31000654022236757,0.001953125,0.375,0.12369791666666667,0.9134615384615385,0.1484375,0.7319422150882825
BD-D,attn_shuffle_aux,0.2571614583333333,0.2583387835186396,0.014973958333333334,2.8750000000000004,0.12955729166666666,0.9567307692307693,0.138671875,0.6837881219903692
BD-D,attn_zero_L0,0.06705729166666667,0.06736429038587312,0.03125,6.0,0.031901041666666664,0.23557692307692307,0.039388020833333336,0.19422150882825043
BD-D,attn_zero_all,0.061197916666666664,0.06147809025506867,0.036458333333333336,7.000000000000001,0.040364583333333336,0.29807692307692313,0.041015625,0.20224719101123598
BD-D,ff_zero_aux,0.9954427083333334,1.0,0.005859375,1.125,0.15104166666666666,1.1153846153846154,0.20247395833333334,0.998394863563403
BD-D,ff_zero_all,0.955078125,0.9594506213211249,0.001953125,0.375,0.1015625,0.75,0.14876302083333334,0.7335473515248797
BD-D10,clean,0.994140625,1.0,0.022135416666666668,1.0,0.23567708333333334,1.0,0.2708333333333333,1.0
BD-D10,attn_zero_aux,0.23828125,0.23968565815324164,0.26171875,11.823529411764705,0.12565104166666666,0.5331491712707181,0.17740885416666666,0.655048076923077
BD-D10,attn_mean_aux,0.3131510416666667,0.314996725605763,0.005208333333333333,0.2352941176470588,0.12890625,0.5469613259668508,0.15657552083333334,0.5781250000000001
BD-D10,attn_shuffle_aux,0.2662760416666667,0.2678454485920105,0.0234375,1.0588235294117647,0.12044270833333333,0.511049723756906,0.15006510416666666,0.5540865384615384
BD-D10,attn_zero_L0,0.060546875,0.060903732809430254,0.052734375,2.3823529411764706,0.057942708333333336,0.24585635359116023,0.0625,0.23076923076923078
BD-D10,attn_zero_all,0.061848958333333336,0.062213490504256716,0.059244791666666664,2.676470588235294,0.0703125,0.2983425414364641,0.0595703125,0.2199519230769231
BD-D10,ff_zero_aux,0.994140625,1.0,0.024088541666666668,1.088235294117647,0.23828125,1.011049723756906,0.2679036458333333,0.9891826923076923
BD-D10,ff_zero_all,0.974609375,0.9803536345776032,0.001953125,0.08823529411764705,0.12890625,0.5469613259668508,0.18782552083333334,0.6935096153846154
