arm,seed,cutoff_step,final_acc,final_task_loss,steps_to_threshold,cand_entropy,internal_select_acc,pos_neg_margin,acc_in_distribution,acc_longer_context,acc_higher_distractor,acc_two_systems
A,0,,0.2607421875,1.624703772366047,,,,,0.22135416666666666,0.24739583333333334,0.10546875,0.1484375
A,1,,0.2412109375,1.5495814010500908,,,,,0.24348958333333334,0.23567708333333334,0.1328125,0.15104166666666666
A,2,,0.2548828125,1.5369209125638008,,,,,0.2526041666666667,0.2578125,0.14322916666666666,0.14583333333333334
C,0,,0.9970703125,0.0062687512654520106,250,0.04064485772202412,0.7760416666666666,41.468193689982094,0.9986979166666666,0.9895833333333334,0.5338541666666666,0.5234375
C,1,,0.25,1.5171760618686676,,0.11336567625403404,0.2526041666666667,-0.47020038962364197,0.24869791666666666,0.19140625,0.12760416666666666,0.130859375
C,2,,1.0,3.6550485447151004e-05,250,0.07469847115377586,0.5989583333333334,25.568660100301106,1.0,0.98828125,0.5104166666666666,0.4973958333333333
D-full,0,2500,0.9931640625,0.03696835148730315,750,0.0006091759635561781,1.0,47.5395450592041,0.9947916666666666,0.078125,0.13932291666666666,0.17903645833333334
D-full,1,2500,0.9853515625,0.0459419033722952,750,0.00013797987526705432,1.0,47.8511536916097,0.9895833333333334,0.07421875,0.1640625,0.16341145833333334
D-full,2,2500,0.9921875,0.04511145893775392,500,0.00046784445105174655,1.0,44.153526306152344,0.9934895833333334,0.21223958333333334,0.16276041666666666,0.205078125
D-10,0,250,0.9736328125,0.11533398367464542,750,0.001672218927557682,0.9973958333333334,55.07163619995117,0.9765625,0.12630208333333334,0.21223958333333334,0.21614583333333334
D-10,1,250,0.9814453125,0.07798963086679578,750,0.0009818791319654945,1.0,41.4560604095459,0.9817708333333334,0.11067708333333333,0.17057291666666666,0.17057291666666666
D-10,2,250,0.9892578125,0.10687747175688855,500,3.956673751304152e-05,1.0,51.22988192240397,0.9908854166666666,0.22916666666666666,0.16145833333333334,0.19075520833333334
D-25,0,625,0.9921875,0.024035851238295436,750,4.029194512848259e-06,1.0,49.00429725646973,0.9869791666666666,0.09244791666666667,0.1640625,0.197265625
D-25,1,625,0.978515625,0.05791747017065063,750,0.0007519910051219844,1.0,51.21381823221842,0.9830729166666666,0.09765625,0.13020833333333334,0.150390625
D-25,2,625,0.99609375,0.03653238883271115,500,4.663804676554213e-06,1.0,53.29069964090983,0.99609375,0.14973958333333334,0.09635416666666667,0.13997395833333334
D-50,0,1250,0.984375,0.04712603368534474,750,0.0019730644540535045,0.9973958333333334,43.25903002421061,0.9856770833333334,0.11588541666666667,0.13020833333333334,0.1953125
D-50,1,1250,0.9833984375,0.043448657961562276,750,0.004639804500736015,0.9973958333333334,49.61586062113444,0.9752604166666666,0.07682291666666667,0.13020833333333334,0.142578125
D-50,2,1250,0.98828125,0.06118170250556432,500,0.0008140933344596609,0.9973958333333334,49.51516977945963,0.9856770833333334,0.14322916666666666,0.09895833333333333,0.13736979166666666
