arm,seed,in_distribution,mean_hard,acc_in_distribution,acc_longer_context,acc_higher_distractor,acc_two_systems,attn_entropy_norm,head_diversity_js,head_specialization_sel_std,perturb_stability,retrieval_stability,headmean_select_acc,healthy,causal_retained,causal_collapse
BD-A,0,1.0,0.67578125,1.0,0.9010416666666666,0.5690104166666666,0.5572916666666666,0.9252278796661083,0.006999160170089961,0.00676582346706593,0.9389348448142079,0.314453125,0.2669270833333333,True,0.083984375,True
BD-A,1,1.0,0.6812065972222222,1.0,0.92578125,0.5598958333333334,0.5579427083333334,0.9042831834782517,0.00871941793164095,0.01986477383124004,0.9335617270062331,0.3014322916666667,0.2779947916666667,True,0.05859375,True
BD-A,2,1.0,0.6974826388888888,1.0,0.9505208333333334,0.5807291666666666,0.5611979166666666,0.8999939735630029,0.009312563129065485,0.008513474499102884,0.9274761952521193,0.2864583333333333,0.3131510416666667,True,0.05078125,True
BD-A,3,1.0,0.603298611111111,1.0,0.7330729166666666,0.5390625,0.5377604166666666,0.9711428960390821,0.0019280540916900197,0.017026948998205754,0.934331289354065,0.2552083333333333,0.4466145833333333,False,0.0546875,True
BD-A,4,1.0,0.701388888888889,1.0,0.9583333333333334,0.5859375,0.5598958333333334,0.9088796031139664,0.010208119080750245,0.015296015787071258,0.9411809427131911,0.3118489583333333,0.2708333333333333,True,0.08203125,True
BD-A,5,1.0,0.6966145833333334,1.0,0.9479166666666666,0.5755208333333334,0.56640625,0.9488729055745199,0.005754402011638785,0.024106130965590646,0.947666762295702,0.33984375,0.2571614583333333,True,0.048828125,True
BD-A,6,0.26171875,0.17274305555555555,0.26171875,0.23177083333333334,0.12760416666666666,0.15885416666666666,0.9410456236666035,0.028449202934647616,0.014543169208130643,0.9442721660457429,0.2747395833333333,0.24674479166666666,True,0.24285714285714285,True
BD-A,7,1.0,0.6488715277777778,1.0,0.890625,0.5130208333333334,0.54296875,0.9465753763533699,0.006714916067083878,0.015665637259786425,0.9487523902388718,0.3411458333333333,0.232421875,True,0.0625,True
BD-A,8,1.0,0.6844618055555556,1.0,0.9440104166666666,0.546875,0.5625,0.9359175235846219,0.005767653691470465,0.007812500000000009,0.9431901497382412,0.3463541666666667,0.2786458333333333,True,0.072265625,True
BD-A,9,0.23697916666666666,0.17621527777777776,0.23697916666666666,0.21744791666666666,0.13541666666666666,0.17578125,0.985282917033664,0.008943401655831918,0.010638108488520965,0.9580637889305605,0.3359375,0.259765625,True,0.2032520325203252,True
BD-D,0,1.0,0.1388888888888889,1.0,0.005208333333333333,0.17578125,0.23567708333333334,0.1119993670141164,0.0009727619572564736,0.0,0.9866881426500453,1.0,1.0,False,0.0546875,True
BD-D,1,0.9869791666666666,0.10026041666666667,0.9869791666666666,0.00390625,0.11197916666666667,0.18489583333333334,0.15315194984182715,0.0011740357406375926,0.0,0.993870938384455,1.0,1.0,False,0.05742574257425743,True
BD-D,2,1.0,0.10894097222222222,1.0,0.00390625,0.125,0.19791666666666666,0.11577482185354777,0.0006781345466393422,0.0,0.9873699261053748,1.0,1.0,False,0.072265625,True
BD-D,3,1.0,0.14605034722222224,1.0,0.015625,0.21614583333333334,0.20638020833333334,0.16150330911565666,0.0010221335338521777,0.0,0.991920901732908,0.9973958333333334,1.0,False,0.08984375,True
BD-D,4,1.0,0.6701388888888888,1.0,0.87109375,0.58984375,0.5494791666666666,0.16672826233035498,0.0038823039730968086,0.0,0.9981081484046858,1.0,1.0,False,0.072265625,True
BD-D,5,1.0,0.1267361111111111,1.0,0.01171875,0.16145833333333334,0.20703125,0.12922026644764037,0.0012210421292056452,0.0,0.9902778495224684,0.9993489583333334,1.0,False,0.0703125,True
BD-D,6,1.0,0.1267361111111111,1.0,0.0078125,0.15234375,0.22005208333333334,0.1607284235352867,0.0013120116970218492,0.0,0.9924520977501782,1.0,1.0,False,0.0546875,True
BD-D,7,1.0,0.0818142361111111,1.0,0.0026041666666666665,0.11328125,0.12955729166666666,0.09945853330468657,0.0006625973432312637,0.0,0.9876722495479209,1.0,1.0,False,0.064453125,True
BD-D,8,1.0,0.220703125,1.0,0.009114583333333334,0.33203125,0.3209635416666667,0.1550726646690526,0.001243620125033355,0.0,0.9923782736374559,1.0,1.0,False,0.064453125,True
BD-D,9,0.9700520833333334,0.1332465277777778,0.9700520833333334,0.01171875,0.1953125,0.19270833333333334,0.18683915759915823,0.0019442315653069233,0.0,0.9838452068412429,0.9837239583333334,1.0,False,0.06613226452905811,True
BD-Sync,0,1.0,0.6714409722222222,1.0,0.92578125,0.5546875,0.5338541666666666,0.6981177839318796,0.16129567603482217,0.06734427365096746,0.9867315913347697,0.8229166666666666,0.13932291666666666,True,0.076171875,True
BD-Sync,1,1.0,0.6553819444444444,1.0,0.8450520833333334,0.56640625,0.5546875,0.6281193257946505,0.22884369025491144,0.10464570838717738,0.9928587301260549,0.876953125,0.16536458333333334,True,0.0703125,True
BD-Sync,2,1.0,0.675998263888889,1.0,0.890625,0.5755208333333334,0.5618489583333334,0.6880795839823838,0.1757559243817468,0.11938052179637597,0.9879505894723584,0.8313802083333334,0.18229166666666666,True,0.0546875,True
BD-Sync,3,1.0,0.646484375,1.0,0.8658854166666666,0.5299479166666666,0.5436197916666666,0.6212800745867045,0.21327484136198402,0.06057137161256775,0.9881826190372077,0.86328125,0.1015625,True,0.052734375,True
BD-Sync,4,1.0,0.6918402777777778,1.0,0.9010416666666666,0.59375,0.5807291666666666,0.7890797372707298,0.08500114529931584,0.07640245105302396,0.9841747319824646,0.7688802083333334,0.05078125,True,0.0703125,True
BD-Sync,5,1.0,0.6555989583333334,1.0,0.8541666666666666,0.56640625,0.5462239583333334,0.6278438266630675,0.24295563733610617,0.052806663416389746,0.9936213718517076,0.8919270833333334,0.12434895833333333,True,0.060546875,True
BD-Sync,6,1.0,0.6380208333333333,1.0,0.8190104166666666,0.5455729166666666,0.5494791666666666,0.6340434107387204,0.24550828077306308,0.11388577919619727,0.9901831322048953,0.8463541666666666,0.1484375,True,0.048828125,True
BD-Sync,7,1.0,0.6130642361111112,1.0,0.7786458333333334,0.515625,0.544921875,0.6552662136219375,0.19580728794166014,0.030508787796510364,0.9905929162524234,0.837890625,0.08984375,True,0.05078125,True
BD-Sync,8,1.0,0.6486545138888888,1.0,0.9010416666666666,0.51953125,0.525390625,0.6209474220148753,0.17082348149521454,0.07147239672715341,0.9899651602063323,0.8704427083333334,0.08203125,True,0.064453125,True
BD-Sync,9,1.0,0.671875,1.0,0.9296875,0.5247395833333334,0.5611979166666666,0.7403730308803551,0.12670054669592903,0.06895819073342507,0.9793580445589468,0.7688802083333334,0.099609375,True,0.0546875,True
BD-Sync-Early,0,1.0,0.6642795138888888,1.0,0.8502604166666666,0.5859375,0.556640625,0.9009435606540793,0.007546087157771179,0.02534049538545386,0.9624185714862304,0.6341145833333334,0.038411458333333336,True,0.07421875,True
BD-Sync-Early,1,1.0,0.7044270833333334,1.0,0.9700520833333334,0.5716145833333334,0.5716145833333334,0.9357951589362451,0.004090246125861722,0.0028378248330342927,0.9619135847404057,0.5891927083333334,0.0032552083333333335,False,0.0703125,True
BD-Sync-Early,2,1.0,0.689453125,1.0,0.9114583333333334,0.5768229166666666,0.580078125,0.9395860761048777,0.0046799598799193735,0.009808931753463127,0.9559654501052148,0.5397135416666666,0.044921875,False,0.06640625,True
BD-Sync-Early,3,1.0,0.6538628472222222,1.0,0.8619791666666666,0.54296875,0.556640625,0.9693001257842443,0.002643902652032971,0.016092717570713913,0.9426834118149037,0.3138020833333333,0.3287760416666667,False,0.068359375,True
BD-Sync-Early,4,1.0,0.6990017361111112,1.0,0.9401041666666666,0.5872395833333334,0.5696614583333334,0.8969163140184233,0.005976394771429403,0.0033829117335329633,0.9688034368048135,0.6868489583333334,0.005859375,True,0.064453125,True
BD-Sync-Early,5,1.0,0.6733940972222222,1.0,0.9322916666666666,0.55078125,0.537109375,0.9255910078211972,0.0037019310349440614,0.002255274489021976,0.9615216564333062,0.6243489583333334,0.009114583333333334,False,0.064453125,True
BD-Sync-Early,6,1.0,0.6723090277777778,1.0,0.87890625,0.5690104166666666,0.5690104166666666,0.9477178940524499,0.004971557055269059,0.040217305238230465,0.9493524099397,0.3684895833333333,0.2552083333333333,False,0.05859375,True
BD-Sync-Early,7,1.0,0.6497395833333334,1.0,0.875,0.5234375,0.55078125,0.9369760043574714,0.0038027593466394005,0.0036828478186799354,0.9598475119205706,0.5852864583333334,0.0078125,False,0.04296875,True
BD-Sync-Early,8,1.0,0.6480034722222222,1.0,0.8372395833333334,0.54296875,0.5638020833333334,0.9457776751357775,0.004567161756938277,0.026074198430339555,0.945395469386239,0.35546875,0.34765625,False,0.0703125,True
BD-Sync-Early,9,1.0,0.64453125,1.0,0.8723958333333334,0.5104166666666666,0.55078125,0.9649073724600027,0.003085844300907563,0.03234307903222453,0.9470232529299084,0.3658854166666667,0.25390625,False,0.064453125,True
BD-Shuffled,0,1.0,0.6848958333333334,1.0,0.9466145833333334,0.5520833333333334,0.5559895833333334,0.9998361635202776,3.0036187327750773e-05,0.027343749999999997,0.9548064424498054,0.29296875,0.20182291666666666,False,0.08984375,True
BD-Shuffled,1,1.0,0.679470486111111,1.0,0.9921875,0.5260416666666666,0.5201822916666666,0.9998427756709707,2.2342970693145506e-05,0.01057817500603641,0.9589036218667719,0.3157552083333333,0.21875,False,0.056640625,True
BD-Shuffled,2,1.0,0.5086805555555556,1.0,0.7955729166666666,0.3489583333333333,0.3815104166666667,0.9998904502471065,2.0735294598771427e-05,0.03143257214732634,0.9537292017959654,0.3606770833333333,0.21419270833333334,False,0.056640625,True
BD-Shuffled,3,1.0,0.6668836805555556,1.0,0.91796875,0.5325520833333334,0.5501302083333334,0.9998139573801638,2.5880743671960184e-05,0.017113853421998598,0.9408780391651019,0.3717447916666667,0.193359375,False,0.078125,True
BD-Shuffled,4,1.0,0.7039930555555556,1.0,0.9609375,0.5807291666666666,0.5703125,0.9998517380272894,2.2294538423740634e-05,0.027705628686136997,0.9667538371461278,0.3561197916666667,0.15299479166666666,False,0.06640625,True
BD-Shuffled,5,1.0,0.6356336805555556,1.0,0.953125,0.4778645833333333,0.4759114583333333,0.9998513680854417,2.7420551451366282e-05,0.016092717570713906,0.952959221136165,0.32421875,0.2701822916666667,False,0.0625,True
BD-Shuffled,6,1.0,0.6508246527777778,1.0,0.8919270833333334,0.5130208333333334,0.5475260416666666,0.9998012991883369,2.952444046567928e-05,0.01863162502767473,0.9525010741340256,0.3326822916666667,0.236328125,False,0.044921875,True
BD-Shuffled,7,1.0,0.6614583333333334,1.0,0.9466145833333334,0.5065104166666666,0.53125,0.9998646326952613,1.7639268824353055e-05,0.007479899279346399,0.9612811548194481,0.296875,0.23567708333333334,False,0.048828125,True
BD-Shuffled,8,1.0,0.6929253472222222,1.0,0.984375,0.5364583333333334,0.5579427083333334,0.9998145194588792,3.256632449044618e-05,0.02795691478331235,0.9571386579739791,0.2975260416666667,0.3736979166666667,False,0.0703125,True
BD-Shuffled,9,1.0,0.5638020833333334,1.0,0.6588541666666666,0.49609375,0.5364583333333334,0.9997951405075254,2.8663928228114482e-05,0.01969333784147679,0.9429180946824076,0.34765625,0.22330729166666666,False,0.0390625,True
