arm,seed,final_acc,gen_score,ood_score,acc_in_distribution,acc_longer_context,acc_higher_distractor,acc_two_systems,diag_entropy,diag_uniformity,diag_cross_head_diversity,diag_head_specialization,diag_layer_diversity,diag_selection_acc
BD-A,0,0.9853515625,0.6419270833333334,0.8447916666666667,0.9908854166666666,0.83984375,0.5533854166666666,0.5325520833333334,1.2741467151790857,0.919102573676915,0.010629250344291243,0.2942708333333333,0.07480747975084039,0.2786458333333333
BD-A,1,0.994140625,0.6065538194444444,0.8447916666666667,0.9921875,0.765625,0.5286458333333334,0.525390625,1.2192083846312016,0.879472945158839,0.014241594851013263,0.30642361111111116,0.0877255964072295,0.2604166666666667
BD-A,2,0.99609375,0.6480034722222222,0.871875,0.9934895833333334,0.8333333333333334,0.5598958333333334,0.55078125,1.1940588634461164,0.8613314004116129,0.013566038001967066,0.2977430555555555,0.08734093765754854,0.3333333333333333
BD-A,3,0.984375,0.6304253472222222,0.8109375,0.9791666666666666,0.8346354166666666,0.5169270833333334,0.5397135416666666,1.2263393634930253,0.8846168590791582,0.012672851534400965,0.30685763888888895,0.07072248650850572,0.2682291666666667
BD-A,4,0.966796875,0.6430121527777778,0.8390625,0.9752604166666666,0.875,0.5416666666666666,0.5123697916666666,1.257508866333713,0.9071009026667759,0.010622430143927079,0.29687500000000006,0.08850570370729353,0.2604166666666667
BD-D,0,0.5595703125,0.150390625,0.20260416666666667,0.5690104166666666,0.022135416666666668,0.19140625,0.23763020833333334,0.5077992663039671,0.36629974163189344,0.007905805877427155,0.05381944444444444,0.27623315506934887,0.8046875
BD-D,1,0.5107421875,0.10590277777777778,0.13125,0.4973958333333333,0.026041666666666668,0.13671875,0.15494791666666666,0.5443766516788552,0.39268474787641156,0.00892808240231939,0.07986111111111112,0.29178934545961965,0.7708333333333334
BD-D,2,0.59765625,0.13237847222222224,0.17708333333333334,0.5872395833333334,0.04296875,0.16145833333333334,0.19270833333333334,0.40085620772636804,0.28915663149819376,0.009634202174152912,0.04296875,0.3197262164418741,0.9427083333333334
BD-D,3,0.486328125,0.115234375,0.13385416666666666,0.4700520833333333,0.045572916666666664,0.15104166666666666,0.14908854166666666,0.5488708265669023,0.39592660978834787,0.008446325644146201,0.07161458333333334,0.24631241703173146,0.7369791666666666
BD-D,4,0.5146484375,0.12738715277777776,0.11666666666666667,0.50390625,0.033854166666666664,0.18229166666666666,0.166015625,0.544296003121417,0.39262657223947595,0.013687146496085096,0.08420138888888888,0.2657683997737574,0.8541666666666666
BD-Sync,0,0.99609375,0.6471354166666666,0.8458333333333333,0.9973958333333334,0.83203125,0.5598958333333334,0.5494791666666666,0.8962725143258771,0.6465239558515127,0.2039764191047451,0.7109375000000012,0.08608038079000835,0.049479166666666664
BD-Sync,1,0.982421875,0.5887586805555556,0.8052083333333333,0.9778645833333334,0.7005208333333334,0.5338541666666666,0.5319010416666666,0.9006491417530924,0.6496810251940431,0.21933649761490406,0.7361111111111125,0.07391709656076273,0.08333333333333333
BD-Sync,2,0.9921875,0.5924479166666667,0.8145833333333333,0.9895833333333334,0.7825520833333334,0.5,0.4947916666666667,1.194155625378092,0.8614011993913159,0.019567332656979238,0.34375000000000017,0.07758508392119741,0.06510416666666667
BD-Sync,3,0.9873046875,0.6095920138888888,0.8260416666666667,0.98828125,0.7565104166666666,0.52734375,0.544921875,0.8841058982846638,0.6377475975379834,0.22566291435648758,0.7443576388888896,0.06988783445831359,0.03125
BD-Sync,4,0.99609375,0.5991753472222222,0.7916666666666666,0.99609375,0.734375,0.5390625,0.5240885416666666,0.8023533845165124,0.5787756244412241,0.28565903096958023,0.7552083333333339,0.0810663250934643,0.033854166666666664
BD-Sync-Early,0,0.99609375,0.654296875,0.859375,1.0,0.8645833333333334,0.5546875,0.5436197916666666,1.1699625773665805,0.8439496041962178,0.03586204318649304,0.4058159722222224,0.08798376792068059,0.020833333333333332
BD-Sync-Early,1,0.9912109375,0.5952690972222222,0.825,0.9921875,0.7317708333333334,0.5169270833333334,0.537109375,1.0872395592741668,0.784277560211572,0.06055119101179376,0.4917534722222221,0.106213278209907,0.013020833333333334
BD-Sync-Early,2,0.990234375,0.6555989583333334,0.8729166666666667,0.9830729166666666,0.8606770833333334,0.55859375,0.5475260416666666,1.1200074482088287,0.8079145956447892,0.05626547282644068,0.4839409722222227,0.08634221324700775,0.0390625
BD-Sync-Early,3,0.9853515625,0.6174045138888888,0.8546875,0.98828125,0.7955729166666666,0.5091145833333334,0.5475260416666666,1.087633918505162,0.7845620302650139,0.05700290470513714,0.4761284722222223,0.08353332509310955,0.0026041666666666665
BD-Sync-Early,4,0.982421875,0.6378038194444444,0.840625,0.9921875,0.8567708333333334,0.5377604166666666,0.5188802083333334,1.0276876200611393,0.7413199165225924,0.10601779523042555,0.5703125000000002,0.11061715734225193,0.020833333333333332
