arbitrator,family,seed,truth_label,consensus_xy_error,attribution_hit_top_half,false_attribution_max,per_tick_us
BCVF,baseline,5000,,0.000000,0,0.000000,7.65
BCVF,baseline,5001,,0.000000,0,0.000000,4.68
BCVF,baseline,5002,,0.000000,0,0.000000,4.25
BCVF,baseline,5003,,0.000000,0,0.000000,4.63
BCVF,baseline,5004,,0.000000,0,0.000000,3.59
BCVF,baseline,5005,,0.000000,0,0.000000,3.65
BCVF,baseline,5006,,0.000000,0,0.000000,3.45
BCVF,baseline,5007,,0.000000,0,0.000000,4.09
BCVF,baseline,5008,,0.000000,0,0.000000,3.40
BCVF,baseline,5009,,0.000000,0,0.000000,3.71
BCVF,constant_bias,5000,,0.166667,0,0.000000,3.41
BCVF,constant_bias,5001,,0.166667,0,0.000000,4.23
BCVF,constant_bias,5002,,0.166667,0,0.000000,3.32
BCVF,constant_bias,5003,,0.166667,0,0.000000,3.69
BCVF,constant_bias,5004,,0.166667,0,0.000000,3.36
BCVF,constant_bias,5005,,0.166667,0,0.000000,3.91
BCVF,constant_bias,5006,,0.166667,0,0.000000,3.93
BCVF,constant_bias,5007,,0.166667,0,0.000000,3.68
BCVF,constant_bias,5008,,0.166667,0,0.000000,3.59
BCVF,constant_bias,5009,,0.166667,0,0.000000,3.82
BCVF,linear_drift,5000,,0.040833,0,0.000000,3.57
BCVF,linear_drift,5001,,0.040833,0,0.000000,3.71
BCVF,linear_drift,5002,,0.040833,0,0.000000,3.54
BCVF,linear_drift,5003,,0.040833,0,0.000000,3.75
BCVF,linear_drift,5004,,0.040833,0,0.000000,3.56
BCVF,linear_drift,5005,,0.040833,0,0.000000,3.55
BCVF,linear_drift,5006,,0.040833,0,0.000000,3.48
BCVF,linear_drift,5007,,0.040833,0,0.000000,3.70
BCVF,linear_drift,5008,,0.040833,0,0.000000,4.31
BCVF,linear_drift,5009,,0.040833,0,0.000000,3.77
BCVF,accelerating,5000,1,0.486495,1,0.000000,4.12
BCVF,accelerating,5001,1,0.486495,1,0.000000,3.67
BCVF,accelerating,5002,1,0.486495,1,0.000000,3.76
BCVF,accelerating,5003,1,0.486495,1,0.000000,3.58
BCVF,accelerating,5004,1,0.486495,1,0.000000,4.24
BCVF,accelerating,5005,1,0.486495,1,0.000000,3.71
BCVF,accelerating,5006,1,0.486495,1,0.000000,3.73
BCVF,accelerating,5007,1,0.486495,1,0.000000,4.10
BCVF,accelerating,5008,1,0.486495,1,0.000000,3.65
BCVF,accelerating,5009,1,0.486495,1,0.000000,3.73
BCVF,noise_floor,5000,,0.007491,0,0.144768,3.58
BCVF,noise_floor,5001,,0.006955,0,0.070415,4.36
BCVF,noise_floor,5002,,0.006870,0,0.006600,4.81
BCVF,noise_floor,5003,,0.007866,0,0.273863,3.87
BCVF,noise_floor,5004,,0.007393,0,0.205871,4.33
BCVF,noise_floor,5005,,0.006770,0,0.143765,3.72
BCVF,noise_floor,5006,,0.007395,0,0.746073,3.80
BCVF,noise_floor,5007,,0.008173,0,0.034345,3.54
BCVF,noise_floor,5008,,0.007032,0,0.121904,4.31
BCVF,noise_floor,5009,,0.007782,0,0.038310,3.57
BCVF,outlier,5000,0,0.445996,1,0.000000,3.72
BCVF,outlier,5001,0,0.445996,1,0.000000,3.64
BCVF,outlier,5002,0,0.445996,1,0.000000,3.91
BCVF,outlier,5003,0,0.445996,1,0.000000,3.76
BCVF,outlier,5004,0,0.445996,1,0.000000,3.61
BCVF,outlier,5005,0,0.445996,1,0.000000,3.44
BCVF,outlier,5006,0,0.445996,1,0.000000,3.49
BCVF,outlier,5007,0,0.445996,1,0.000000,4.32
BCVF,outlier,5008,0,0.445996,1,0.000000,3.46
BCVF,outlier,5009,0,0.445996,1,0.000000,3.94
BCVF,sensor_dropout,5000,2,0.256128,1,0.000000,3.88
BCVF,sensor_dropout,5001,2,0.256128,1,0.000000,3.79
BCVF,sensor_dropout,5002,2,0.256128,1,0.000000,3.52
BCVF,sensor_dropout,5003,2,0.256128,1,0.000000,3.58
BCVF,sensor_dropout,5004,2,0.256128,1,0.000000,3.68
