scene_id,failure_type,err_A0,err_A3,delta,attribution_hit_rate,mean_bcvf_total
scene_72_000_gps_multipath,gps_multipath,0.051377,0.051377,0.000000,0.0000,0.000000
scene_72_001_map_misalignment,map_misalignment,0.053957,0.053957,0.000000,0.0000,0.000000
scene_72_002_camera_degradation,camera_degradation,0.046377,0.044175,0.002202,1.0000,126.366802
scene_72_003_constant_bias_sanity,constant_bias_sanity,0.250771,0.250771,0.000000,0.0000,0.000000
scene_72_004_gps_multipath,gps_multipath,0.051983,0.051983,0.000000,0.0000,0.000000
scene_72_005_map_misalignment,map_misalignment,0.050994,0.050994,0.000000,0.0000,0.000000
scene_72_006_camera_degradation,camera_degradation,0.039341,0.038515,0.000826,1.0000,119.187396
scene_72_007_constant_bias_sanity,constant_bias_sanity,0.255758,0.255758,0.000000,0.0000,0.000000
scene_72_008_gps_multipath,gps_multipath,0.050353,0.050353,0.000000,0.0000,0.000000
scene_72_009_map_misalignment,map_misalignment,0.049485,0.049485,0.000000,0.0000,0.000000
scene_72_010_camera_degradation,camera_degradation,0.044787,0.042977,0.001810,1.0000,119.707631
scene_72_011_constant_bias_sanity,constant_bias_sanity,0.252511,0.252511,0.000000,0.0000,0.000000
scene_72_012_gps_multipath,gps_multipath,0.048707,0.048707,0.000000,0.0000,0.000000
scene_72_013_map_misalignment,map_misalignment,0.048086,0.048086,0.000000,0.0000,0.000000
scene_72_014_camera_degradation,camera_degradation,0.045287,0.043799,0.001489,1.0000,124.463373
scene_72_015_constant_bias_sanity,constant_bias_sanity,0.249649,0.249649,0.000000,0.0000,0.000000
scene_72_016_gps_multipath,gps_multipath,0.051050,0.051050,0.000000,0.0000,0.000000
scene_72_017_map_misalignment,map_misalignment,0.052641,0.052641,0.000000,0.0000,0.000000
scene_72_018_camera_degradation,camera_degradation,0.047122,0.044692,0.002430,1.0000,126.209837
scene_72_019_constant_bias_sanity,constant_bias_sanity,0.253209,0.253209,0.000000,0.0000,0.000000
scene_72_020_gps_multipath,gps_multipath,0.052308,0.052308,0.000000,0.0000,0.000000
